# Fix print output for fix def
"Strain,Stess in X,Stress in Y,Strees in z"	
"0.0298000000000014 , 16.1951936843387 , 16.2898555931525 , 23.9328902637624"		
"0.0299000000000014 , 16.1844862854128 , 16.2218270650521 , 23.9090246235603"		
"0.0300000000000015 , 16.3423332094361 , 16.2750596592874 , 24.0288788660182"		
"0.0301000000000015 , 16.3389722239854 , 16.348098164704 , 24.0407241168999"		
"0.0302000000000016 , 16.3273725153642 , 16.3490170081803 , 24.0203060681412"		
"0.0303000000000016 , 16.412266362916 , 16.403783642526 , 24.1785164283239"		
"0.0304000000000014 , 16.4705971543756 , 16.5417882322433 , 24.2468454317698"		
"0.0305000000000014 , 16.5609399967158 , 16.5453707576236 , 24.2893781706756"		
"0.0306000000000015 , 16.5585258329965 , 16.5012150016364 , 24.2608641821966"		
"0.0307000000000015 , 16.6045372902619 , 16.6547899317766 , 24.4772909275225"		
"0.0308000000000015 , 16.632694942664 , 16.6657006661508 , 24.5127967395828"		
"0.0309000000000016 , 16.5927929029422 , 16.6053501181619 , 24.4240873476796"		
"0.0310000000000014 , 16.6418922783002 , 16.6713436649021 , 24.5174967760965"		
"0.0311000000000014 , 16.7652630958315 , 16.7679614149125 , 24.6665021316912"		
"0.0312000000000015 , 16.7656062665939 , 16.7929459092898 , 24.7267767771854"		
"0.0313000000000015 , 16.8435290813703 , 16.8972377370797 , 24.7189923026924"		
"0.0314000000000015 , 16.8402187015267 , 16.8080903908737 , 24.7347151822761"		
"0.0315000000000016 , 16.8536220603624 , 16.8537318587871 , 24.7983944974426"		
"0.0316000000000014 , 16.9380610415789 , 16.9822717611621 , 24.924798551296"		
"0.0317000000000014 , 16.9163152531753 , 16.9563121334665 , 24.9290141303023"		
"0.0318000000000014 , 16.9751103516366 , 16.9635393581598 , 24.9327055098809"		
"0.0319000000000015 , 17.1125135814724 , 17.064071861791 , 25.071038437846"		
"0.0320000000000015 , 17.0211783316887 , 17.063826161648 , 25.1300866541619"		
"0.0321000000000016 , 17.0834767032532 , 17.1214512059677 , 25.1476728613756"		
"0.0322000000000016 , 17.1148272419461 , 17.1248222297358 , 25.2024386116801"		
"0.0323000000000014 , 17.1662607399646 , 17.1478171159835 , 25.1712867074602"		
"0.0324000000000014 , 17.2179200531052 , 17.2333951562988 , 25.3189791894115"		
"0.0325000000000015 , 17.1845459179655 , 17.2386949660292 , 25.1831477673219"		
"0.0326000000000015 , 17.2895571862533 , 17.3190390174741 , 25.4389610210524"		
"0.0327000000000015 , 17.3463968166097 , 17.3734033368856 , 25.6056620353878"		
"0.0328000000000016 , 17.4930779838766 , 17.4671783490314 , 25.6582714920238"		
"0.0329000000000014 , 17.3634879213891 , 17.4143430927302 , 25.5550112919105"		
